0.045,1.92152269014634e-07
0.135,1.92380499164136e-07
0.225,1.92989840702146e-07
0.315,1.93829246711895e-07
0.405,1.95053708206127e-07
0.495,1.96572725069427e-07
0.585,1.98320902319947e-07
0.675,2.00444335931776e-07
0.765,2.03130701291373e-07
0.855,2.06027706931889e-07
0.945,2.08984182547438e-07
1.035,2.12243640935077e-07
1.125,2.15994368790374e-07
1.215,2.20437691994518e-07
1.305,2.25250030692762e-07
1.395,2.30021017812819e-07
1.485,2.35393719351243e-07
1.575,2.4114974539325e-07
1.665,2.47404239318515e-07
1.755,2.54099629899178e-07
1.845,2.60869807395306e-07
1.935,2.68567450232008e-07
2.025,2.76503366352967e-07
2.115,2.84656320022038e-07
2.205,2.93410376583064e-07
2.295,3.03121865014447e-07
2.385,3.13845842175173e-07
2.475,3.24318871590666e-07
2.565,3.34823178636843e-07
2.655,3.46663474041895e-07
2.745,3.58971302837713e-07
2.835,3.72181489518566e-07
2.925,3.86013064968018e-07
3.015,4.00471057333532e-07
3.105,4.1541974224167e-07
3.195,4.30740712269996e-07
3.285,4.46993902241669e-07
3.375,4.63503583844801e-07
3.465,4.8140020119218e-07
3.555,5.00281154192036e-07
3.645,5.19066475570578e-07
3.735,5.38558930420537e-07
3.825,5.59347963883818e-07
3.915,5.81183412048029e-07
4.005,6.03403265007323e-07
4.095,6.25631840487166e-07
4.185,6.48938738892277e-07
4.275,6.72999075178839e-07
4.365,6.97961295777797e-07
4.455,7.23560352207162e-07
4.545,7.50697536773931e-07
4.635,7.78221353636979e-07
4.725,8.05261119378292e-07
4.815,8.33436875075335e-07
4.905,8.6186606082037e-07
4.995,8.91993653745314e-07
5.085,9.22479758643261e-07
5.175,9.52949286652076e-07
5.265,9.83821071878389e-07
5.355,1.01552132153439e-06
5.445,1.04842451126699e-06
5.535,1.08136520391198e-06
5.625,1.11448621192604e-06
5.715,1.14783196355376e-06
5.805,1.18110370004981e-06
5.895,1.2157888083988e-06
5.985,1.25049778591935e-06
6.075,1.28514753548432e-06
6.165,1.32065296782272e-06
6.255,1.35583736247975e-06
6.345,1.39072764113739e-06
6.435,1.42595623105366e-06
6.525,1.4624152773546e-06
6.615,1.49925691494704e-06
6.705,1.53595187406629e-06
6.795,1.57142881623843e-06
6.885,1.60713696545928e-06
6.975,1.64363186985124e-06
7.065,1.67944174126604e-06
7.155,1.71523863663243e-06
7.245,1.75138792372023e-06
7.335,1.78754911295913e-06
7.425,1.82355671134086e-06
7.515,1.85880274326189e-06
7.605,1.8953997361652e-06
7.695,1.93113464366856e-06
7.785,1.96571872604849e-06
7.875,2.00060034456456e-06
7.965,2.03448545218637e-06
8.055,2.06949432580123e-06
8.145,2.10426325760817e-06
8.235,2.13813749661365e-06
8.325,2.17191122401034e-06
8.415,2.20559713557442e-06
8.505,2.23951461335826e-06
8.595,2.27221944736667e-06
8.685,2.30440462659627e-06
8.775,2.33716247665539e-06
8.865,2.36942287439153e-06
8.955,2.40144688400417e-06
9.045,2.43292671557377e-06
9.135,2.4644659158239e-06
9.225,2.49588448023529e-06
9.315,2.52606456056721e-06
9.405,2.55613773291725e-06
9.495,2.58618416140791e-06
9.585,2.61622233766415e-06
9.675,2.64614785624741e-06
9.765,2.67487179832276e-06
9.855,2.70308369872869e-06
9.945,2.73171742676577e-06
10.035,2.76009781348365e-06
10.125,2.7880974805059e-06
10.215,2.815704066558e-06
10.305,2.84339248696385e-06
10.395,2.87083587190028e-06
10.485,2.89705182332743e-06
10.575,2.92327836417304e-06
10.665,2.94980923929192e-06
10.755,2.97582892923191e-06
10.845,3.00141322734761e-06
10.935,3.02615069363295e-06
11.025,3.05101887794583e-06
11.115,3.07643360997697e-06
11.205,3.10113210670896e-06
11.295,3.12531578736125e-06
11.385,3.14877372794658e-06
11.475,3.172310174137e-06
11.565,3.19615534719096e-06
11.655,3.21922976322121e-06
11.745,3.24222381689108e-06
11.835,3.26493561233596e-06
11.925,3.28773713604365e-06
12.015,3.31035889242527e-06
12.105,3.3319366351121e-06
12.195,3.35360980150721e-06
12.285,3.375329019633e-06
12.375,3.39663070084504e-06
12.465,3.41756799993737e-06
12.555,3.43813735229686e-06
12.645,3.45880000454444e-06
12.735,3.47933092550169e-06
12.825,3.49939232289579e-06
12.915,3.51938399500737e-06
13.005,3.5396500786563e-06
13.095,3.55937770884496e-06
13.185,3.57854906829572e-06
13.275,3.59747224001353e-06
13.365,3.6164873211837e-06
13.455,3.63557760967897e-06
13.545,3.65405024907821e-06
13.635,3.67203296517305e-06
13.725,3.69007410927338e-06
13.815,3.70802452780238e-06
13.905,3.72599524435606e-06
13.995,3.74363198886378e-06
14.085,3.76104389918685e-06
14.175,3.77841270208714e-06
14.265,3.79544395812094e-06
14.355,3.81202020952692e-06
14.445,3.82855652302939e-06
14.535,3.84541720953174e-06
14.625,3.86200981443905e-06
14.715,3.8780903778153e-06
14.805,3.89390092780779e-06
14.895,3.90965685999697e-06
14.985,3.92557575598514e-06
15.075,3.94107119912465e-06
15.165,3.95622245659288e-06
15.255,3.97161818136034e-06
15.345,3.98675293795464e-06
15.435,4.0014925379845e-06
15.525,4.0160689391308e-06
15.615,4.03069852564735e-06
15.705,4.04524248478496e-06
15.795,4.05943978313052e-06
15.885,4.0734028360133e-06
15.975,4.08715288478825e-06
16.065,4.1010345835502e-06
16.155,4.1148559130797e-06
16.245,4.12830029198952e-06
16.335,4.14156689172675e-06
16.425,4.15493984150104e-06
16.515,4.16830477389719e-06
16.605,4.1811039454128e-06
16.695,4.19376478042254e-06
